"cd_tuss"|"ds_medicamento"|"ds_apresentacao"|"ds_laboratorio"|"dt_inicio_vigencia"|"dt_final_vigencia"|"dt_final_implantacao"|"registro_anvisa"
"90035593"|"ORENCIA"|"250 MG PO LIOF INJ CT FA + SER DESC"|"BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA"|"1/1/2016"|""|"3/31/2016"|"1018003900019"
"90255143"|"ORENCIA"|"125 MG/ML SOL INJ CT 1 SER PREENCHIDA"|"BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA"|"1/1/2016"|""|"3/31/2016"|"1018003900027"
"90255151"|"ORENCIA"|"125 MG/ML SOL INJ CT 4 SER PREENCHIDA"|"BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA"|"1/1/2016"|""|"3/31/2016"|"1018003900035"
"90255160"|"ORENCIA"|"125 MG/ML SOL INJ CT 1 SER PREENCHIDA + DISPOSITIVO ULTRASAFE"|"BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA"|"1/1/2016"|""|"3/31/2016"|"1018003900043"
"90255178"|"ORENCIA"|"125 MG/ML SOL INJ CT 4 SER PREENCHIDA + DISPOSITIVO ULTRASAFE"|"BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA"|"1/1/2016"|""|"3/31/2016"|"1018003900051"
"90293878"|"ORENCIA"|"125 MG/ML SOL INJ CT 1 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO"|"BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA"|"1/1/2016"|""|"3/31/2016"|"1018003900061"
"90293886"|"ORENCIA"|"125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO"|"BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA"|"1/1/2016"|""|"3/31/2016"|"1018003900078"
"90051505"|"REOPRO"|"2 MG/ML SOL INJ CT FA VD INC X 5 ML"|"ELI LILLY DO BRASIL LTDA"|"10/10/2012"|""|"8/31/2014"|"1126000100027"
"90403525"|"REOPRO"|"2 MG/ML SOL INJ CT FA VD INC X 5 ML"|"JANSSEN-CILAG FARMACÊUTICA LTDA"|"3/1/2019"|""|"5/31/2019"|"1123634150015"
"90433149"|"VERZENIOS"|"50 MG COM REV CT BL AL AL X 30"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990018"
"90433157"|"VERZENIOS"|"50 MG COM REV CT BL AL AL X 60"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990026"
"90433165"|"VERZENIOS"|"100 MG COM REV CT BL AL AL X 30"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990034"
"90433173"|"VERZENIOS"|"100 MG COM REV CT BL AL AL X 60"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990042"
"90433181"|"VERZENIOS"|"150 MG COM REV CT BL AL AL X 30"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990050"
"90433190"|"VERZENIOS"|"150 MG COM REV CT BL AL AL X 60"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990069"
"90433203"|"VERZENIOS"|"200 MG COM REV CT BL AL AL X 30"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990077"
"90433211"|"VERZENIOS"|"200 MG COM REV CT BL AL AL X 60"|"ELI LILLY DO BRASIL LTDA"|"8/1/2019"|""|"10/31/2019"|"1126001990085"
"90424182"|"CALQUENCE"|"100 MG CAP DURA CT BL AL AL X 60"|"ASTRAZENECA DO BRASIL LTDA"|"6/1/2019"|""|"8/31/2019"|"1161802690010"
"90060393"|"AGLUCOSE"|"100 MG COM CT 3 BL AL PVDC LEIT X 10"|"EMS SIGMA PHARMA LTDA"|"10/10/2012"|""|"8/31/2014"|"1356900350083"
"90060407"|"AGLUCOSE"|"50 MG COM CT 3 BL AL PVDC LEIT X 10"|"EMS SIGMA PHARMA LTDA"|"10/10/2012"|""|"8/31/2014"|"1356900350032"
"90428994"|"AGLUCOSE"|"50 MG COM CT BL AL AL X 30"|"EMS SIGMA PHARMA LTDA"|"6/1/2019"|""|"8/31/2019"|"1356900350024"
"90429001"|"AGLUCOSE"|"100 MG COM CT BL AL AL X 30"|"EMS SIGMA PHARMA LTDA"|"6/1/2019"|""|"8/31/2019"|"1356900350075"
"90246853"|"GLUCOBAY"|"50 MG COM CT BL AL/AL X 30"|"BAYER S.A."|"10/10/2012"|""|"8/31/2014"|"1705600740073"
"90246861"|"GLUCOBAY"|"100 MG COM CT BL AL/AL X 30"|"BAYER S.A."|"10/10/2012"|""|"8/31/2014"|"1705600740091"
"90003179"|"BRONDILAT"|"10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML"|"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A"|"10/10/2012"|""|"8/31/2014"|"1057301270065"
"90003195"|"BRONDILAT"|"5 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML"|"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A"|"10/10/2012"|""|"8/31/2014"|"1057301270073"
"90003209"|"BRONDILAT"|"5 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML"|"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A"|"10/10/2012"|""|"8/31/2014"|"1057301270111"
"90003187"|"BRONDILAT"|"10 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML"|"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A"|"10/10/2012"|""|"8/31/2014"|"1057301270091"
"90374517"|"BRONDYNEO"|"10 MG/ ML XPE CT FR VD AMB X 120 ML + COP"|"BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A"|"1/1/2018"|""|"3/31/2018"|"1558403200015"
"90374525"|"BRONDYNEO"|"5 MG / ML XPE CT FR VD AMB X 120 ML + COP"|"BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A"|"1/1/2018"|""|"3/31/2018"|"1558403200023"
"90375343"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + COP"|"BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A"|"1/1/2018"|""|"3/31/2018"|"1558403980037"
"90375351"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + COP"|"BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A"|"1/1/2018"|""|"3/31/2018"|"1558403980010"
"90042247"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"CIMED INDÚSTRIA DE MEDICAMENTOS LTDA"|"10/10/2012"|""|"8/31/2014"|"1438101310011"
"90042255"|"ACEBROFILINA"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"CIMED INDÚSTRIA DE MEDICAMENTOS LTDA"|"10/10/2012"|""|"8/31/2014"|"1438101310021"
"90301951"|"ACEBROFILINA"|"5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP)"|"CIMED INDÚSTRIA DE MEDICAMENTOS LTDA"|"1/1/2016"|""|"3/31/2016"|"1438101310046"
"90301960"|"ACEBROFILINA"|"10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP)"|"CIMED INDÚSTRIA DE MEDICAMENTOS LTDA"|"1/1/2016"|""|"3/31/2016"|"1438101310038"
"90051670"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"EMS S/A"|"10/10/2012"|""|"8/31/2014"|"1023506580010"
"90051661"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + COP"|"EMS S/A"|"1/1/2016"|""|"3/31/2016"|"1023506580029"
"90292049"|"FILINAR G"|"5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED"|"EUROFARMA LABORATÓRIOS S.A."|"5/1/2014"|""|"8/31/2014"|"1004310860022"
"90336313"|"FILINAR"|"10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED"|"EUROFARMA LABORATÓRIOS S.A."|"6/1/2016"|""|"8/31/2016"|"1004311580023"
"90336321"|"FILINAR"|"5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED"|"EUROFARMA LABORATÓRIOS S.A."|"6/1/2016"|""|"8/31/2016"|"1004311580015"
"90065760"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"EUROFARMA LABORATÓRIOS S.A."|"1/1/2016"|""|"3/31/2016"|"1004307850011"
"90065778"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"EUROFARMA LABORATÓRIOS S.A."|"1/1/2016"|""|"3/31/2016"|"1004307850021"
"90078578"|"ACEBROFILINA"|"10MG/ML XPE CT FR VD AMB X 120ML + CP MED"|"GEOLAB INDÚSTRIA FARMACÊUTICA S/A"|"10/10/2012"|""|"8/31/2014"|"1542301230016"
"90078586"|"ACEBROFILINA"|"5MG/ML XPE CT FR VD AMB X 120ML + CP MED"|"GEOLAB INDÚSTRIA FARMACÊUTICA S/A"|"10/10/2012"|""|"8/31/2014"|"1542301230032"
"90078993"|"BRONTEK"|"5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"GEOLAB INDÚSTRIA FARMACÊUTICA S/A"|"10/10/2012"|""|"8/31/2014"|"1542301160034"
"90078985"|"BRONTEK"|"10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"GEOLAB INDÚSTRIA FARMACÊUTICA S/A"|"10/10/2012"|""|"8/31/2014"|"1542301160018"
"90292979"|"LISOMUC"|"5 MG / ML XPE CT FR PET AMB X 120 ML + COP"|"LABORATÓRIO FARMACÊUTICO ELOFAR LTDA"|"5/1/2014"|""|"8/31/2014"|"1038501090021"
"90293002"|"LISOMUC"|"10 MG / ML XPE CT FR PET AMB X 120 ML + COP"|"LABORATÓRIO FARMACÊUTICO ELOFAR LTDA"|"5/1/2014"|""|"8/31/2014"|"1038501090056"
"90114256"|"RESPIRAN"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"LABORATÓRIO GLOBO LTDA"|"10/10/2012"|""|"8/31/2014"|"1053501620016"
"90114248"|"RESPIRAN"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"LABORATÓRIO GLOBO LTDA"|"10/10/2012"|""|"8/31/2014"|"1053501620024"
"90403819"|"ACEBROFILINA"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"LABORATÓRIO GLOBO LTDA"|"3/1/2019"|""|"5/31/2019"|"1053501960011"
"90403827"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"LABORATÓRIO GLOBO LTDA"|"3/1/2019"|""|"5/31/2019"|"1053501960021"
"90115821"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA"|"10/10/2012"|""|"8/31/2014"|"1046504180030"
"90115830"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA"|"10/10/2012"|""|"8/31/2014"|"1046504180014"
"90312333"|"ACEBROFILINA"|"5MG/ML XPE CT FR PLAS AMB X 120ML + COP"|"LABORATÓRIO TEUTO BRASILEIRO S/A"|"1/1/2016"|""|"3/31/2016"|"1037004620296"
"90312341"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PET AMB X 120 ML + COP"|"LABORATÓRIO TEUTO BRASILEIRO S/A"|"1/1/2016"|""|"3/31/2016"|"1037004620253"
"90134990"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120ML "|"LABORATÓRIO TEUTO BRASILEIRO S/A"|"10/10/2012"|""|"8/31/2014"|"1037004620059"
"90135008"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120ML "|"LABORATÓRIO TEUTO BRASILEIRO S/A"|"10/10/2012"|""|"8/31/2014"|"1037004620016"
"90229584"|"DILABRONCO"|"10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED"|"LABORATÓRIO TEUTO BRASILEIRO S/A"|"10/10/2012"|""|"8/31/2014"|"1037005630031"
"90229592"|"DILABRONCO"|"5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED"|"LABORATÓRIO TEUTO BRASILEIRO S/A"|"10/10/2012"|""|"8/31/2014"|"1037005630066"
"90339797"|"ACEBROFILINA"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"BIOSINTÉTICA FARMACÊUTICA LTDA"|"6/1/2016"|""|"8/31/2016"|"1121303330036"
"90339800"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"BIOSINTÉTICA FARMACÊUTICA LTDA"|"6/1/2016"|""|"8/31/2016"|"1121303330044"
"90124570"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED"|"BIOSINTÉTICA FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1121303330028"
"90124588"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED "|"BIOSINTÉTICA FARMACÊUTICA LTDA"|"10/10/2012"|""|"8/31/2014"|"1121303330011"
"90316274"|"ACEBROFILINA"|"5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR  "|"SANOFI MEDLEY FARMACÊUTICA LTDA."|"10/1/2019"|""|"3/31/2016"|"1832600370016"
"90316282"|"ACEBROFILINA"|"10 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR "|"SANOFI MEDLEY FARMACÊUTICA LTDA."|"10/1/2019"|""|"3/31/2016"|"1832600370032"
"90382765"|"ACEBROFILINA"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA."|"1/1/2018"|""|"3/31/2018"|"1091701050011"
"90382773"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA."|"1/1/2018"|""|"3/31/2018"|"1091701050021"
"90234219"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"NOVA QUIMICA FARMACÊUTICA S/A"|"1/1/2016"|""|"3/31/2016"|"1267500710049"
"90234227"|"ACEBROFILINA"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED"|"NOVA QUIMICA FARMACÊUTICA S/A"|"1/1/2016"|""|"3/31/2016"|"1267500710030"
"90354508"|"ACEBROFILINA"|"5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP"|"GERMED FARMACEUTICA LTDA"|"10/1/2016"|""|"12/31/2016"|"1058303150030"
"90354532"|"ACEBROFILINA"|"10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP"|"GERMED FARMACEUTICA LTDA"|"10/1/2016"|""|"12/31/2016"|"1058303150049"
